Taxa	Genotype	Country	Date
MT426607.1	HBV-C	United States	2012
MT426606.1	HBV-C	United States	2012
MT426605.1	HBV-C	United States	2012
MT426604.1	HBV-C	United States	2012
MT426603.1	HBV-C	United States	2012
MT426602.1	HBV-C	United States	2012
MT426601.1	HBV-C	United States	2012
MT426600.1	HBV-C	United States	2012
MT426599.1	HBV-C	United States	2012
MT426598.1	HBV-C	United States	2012
MT426597.1	HBV-C	United States	2012
MT426596.1	HBV-C	United States	2012
MT426595.1	HBV-C	United States	2012
MT426594.1	HBV-C	United States	2012
MT426593.1	HBV-C	United States	2012
MT426592.1	HBV-C	United States	2012
MT426591.1	HBV-C	United States	2012
MT426590.1	HBV-C	United States	2012
MT426589.1	HBV-C	United States	2012
MT426588.1	HBV-C	United States	2012
MT426587.1	HBV-C	United States	2012
MT426586.1	HBV-C	United States	2012
MT426585.1	HBV-C	United States	2012
MT426584.1	HBV-C	United States	2012
MT426583.1	HBV-C	United States	2012
MT426582.1	HBV-C	United States	2012
MT426581.1	HBV-C	United States	2012
MT426580.1	HBV-C	United States	2012
MT426579.1	HBV-C	United States	2012
MT426578.1	HBV-C	United States	2012
MT426577.1	HBV-C	United States	2012
MT426576.1	HBV-C	United States	2012
MT426575.1	HBV-C	United States	2012
MT426574.1	HBV-C	United States	2012
MT426573.1	HBV-C	United States	2012
MT426572.1	HBV-C	United States	2012
MT426571.1	HBV-C	United States	2012
MT426570.1	HBV-C	United States	2012
MT426569.1	HBV-C	United States	2012
MT426568.1	HBV-C	United States	2012
MT426567.1	HBV-C	United States	2012
MT426566.1	HBV-C	United States	2012
MT426565.1	HBV-C	United States	2012
MT426564.1	HBV-C	United States	2012
MT426563.1	HBV-C	United States	2012
MT426562.1	HBV-C	United States	2012
MT426561.1	HBV-C	United States	2012
MT426560.1	HBV-C	United States	2012
MT426559.1	HBV-C	United States	2012
MT426558.1	HBV-C	United States	2012
MT426557.1	HBV-C	United States	2012
MT426556.1	HBV-C	United States	2012
MT426555.1	HBV-C	United States	2012
MT426554.1	HBV-C	United States	2012
MT426553.1	HBV-C	United States	2012
MT426552.1	HBV-C	United States	2012
MT426551.1	HBV-C	United States	2012
MT426550.1	HBV-C	United States	2012
MT426549.1	HBV-C	United States	2012
MT426548.1	HBV-C	United States	2012
MT426547.1	HBV-C	United States	2012
MT426546.1	HBV-C	United States	2012
MT426545.1	HBV-C	United States	2012
MT426544.1	HBV-C	United States	2012
MT426543.1	HBV-C	United States	2012
MT426542.1	HBV-C	United States	2012
MT426541.1	HBV-C	United States	2012
MT426540.1	HBV-C	United States	2012
MT426539.1	HBV-C	United States	2012
MT426538.1	HBV-C	United States	2012
MT426537.1	HBV-C	United States	2012
MT426536.1	HBV-C	United States	2012
MT426535.1	HBV-C	United States	2012
MT426534.1	HBV-C	United States	2012
MT426533.1	HBV-C	United States	2012
MT426532.1	HBV-C	United States	2012
MT426531.1	HBV-C	United States	2012
MT426530.1	HBV-C	United States	2012
MT426529.1	HBV-C	United States	2012
MT426528.1	HBV-C	United States	2012
MT426527.1	HBV-C	United States	2012
MT426526.1	HBV-C	United States	2012
MT426525.1	HBV-C	United States	2012
MT426524.1	HBV-C	United States	2012
MT426523.1	HBV-C	United States	2012
MT426522.1	HBV-C	United States	2012
MT426521.1	HBV-C	United States	2012
MT426520.1	HBV-C	United States	2012
MT426519.1	HBV-C	United States	2012
MT426518.1	HBV-C	United States	2012
MT426517.1	HBV-C	United States	2012
MT426516.1	HBV-C	United States	2012
MT426515.1	HBV-C	United States	2012
MT426514.1	HBV-C	United States	2012
MT426513.1	HBV-C	United States	2012
MT426512.1	HBV-C	United States	2012
MT426511.1	HBV-C	United States	2012
MT426510.1	HBV-C	United States	2012
MT426509.1	HBV-C	United States	2012
MT426508.1	HBV-C	United States	2012
MT426507.1	HBV-C	United States	2012
MT426506.1	HBV-C	United States	2012
MT426505.1	HBV-C	United States	2012
MT426504.1	HBV-C	United States	2012
MT426503.1	HBV-C	United States	2012
MT426502.1	HBV-C	United States	2012
MT426501.1	HBV-C	United States	2012
MT426500.1	HBV-C	United States	2012
MT426499.1	HBV-C	United States	2012
MT426498.1	HBV-C	United States	2012
MT426497.1	HBV-C	United States	2012
MT426496.1	HBV-C	United States	2012
MT426495.1	HBV-C	United States	2012
MT426494.1	HBV-C	United States	2012
MT426493.1	HBV-C	United States	2012
MT426492.1	HBV-C	United States	2012
MT426491.1	HBV-C	United States	2012
MT426490.1	HBV-C	United States	2012
MT426489.1	HBV-C	United States	2012
MT426488.1	HBV-C	United States	2012
MT426487.1	HBV-C	United States	2012
MT426486.1	HBV-C	United States	2012
MT426485.1	HBV-C	United States	2012
MT426484.1	HBV-C	United States	2012
MT426483.1	HBV-C	United States	2012
MT426482.1	HBV-C	United States	2012
MT426481.1	HBV-C	United States	2012
MT426480.1	HBV-C	United States	2012
MT426479.1	HBV-C	United States	2012
MT426478.1	HBV-C	United States	2012
MT426477.1	HBV-C	United States	2012
MT426476.1	HBV-C	United States	2012
MT426475.1	HBV-C	United States	2012
MT426474.1	HBV-C	United States	2012
MT426473.1	HBV-C	United States	2012
MT426472.1	HBV-C	United States	2012
MT426471.1	HBV-C	United States	2012
MT426470.1	HBV-C	United States	2012
MT426469.1	HBV-C	United States	2012
MT426468.1	HBV-C	United States	2012
MT426467.1	HBV-C	United States	2012
MT426466.1	HBV-C	United States	2012
MT426465.1	HBV-C	United States	2012
MT426464.1	HBV-C	United States	2012
MT426463.1	HBV-C	United States	2012
MT426462.1	HBV-C	United States	2012
MT426461.1	HBV-C	United States	2012
MT426460.1	HBV-C	United States	2012
MT426459.1	HBV-C	United States	2012
MT426458.1	HBV-C	United States	2012
MT426457.1	HBV-C	United States	2012
MT426456.1	HBV-C	United States	2012
MT426455.1	HBV-C	United States	2012
MT426454.1	HBV-C	United States	2012
MT426453.1	HBV-C	United States	2012
MT426452.1	HBV-C	United States	2012
MT426451.1	HBV-C	United States	2012
MT426450.1	HBV-C	United States	2012
MT426449.1	HBV-C	United States	2012
MT426448.1	HBV-C	United States	2012
MT426447.1	HBV-C	United States	2012
MT426446.1	HBV-C	United States	2012
MT426445.1	HBV-C	United States	2012
MT426444.1	HBV-C	United States	2012
MT426443.1	HBV-C	United States	2012
MT426442.1	HBV-C	United States	2012
MT426441.1	HBV-C	United States	2012
MT426440.1	HBV-C	United States	2012
MT426439.1	HBV-C	United States	2012
MT426438.1	HBV-C	United States	2012
MT426437.1	HBV-C	United States	2012
MT426436.1	HBV-C	United States	2012
MT426435.1	HBV-C	United States	2012
MT426434.1	HBV-C	United States	2012
MT426433.1	HBV-C	United States	2012
MT426432.1	HBV-C	United States	2012
MT426431.1	HBV-C	United States	2012
MT426430.1	HBV-C	United States	2012
MT426429.1	HBV-C	United States	2012
MT426428.1	HBV-C	United States	2012
MT426427.1	HBV-C	United States	2012
MT426426.1	HBV-C	United States	2012
MT426425.1	HBV-C	United States	2012
MT426424.1	HBV-C	United States	2012
MT426423.1	HBV-C	United States	2012
MT426422.1	HBV-C	United States	2012
MT426421.1	HBV-C	United States	2012
MT426420.1	HBV-C	United States	2012
MT426419.1	HBV-C	United States	2012
MT426418.1	HBV-C	United States	2012
MT426417.1	HBV-C	United States	2012
MT426416.1	HBV-C	United States	2012
MT426415.1	HBV-C	United States	2012
MT426414.1	HBV-C	United States	2012
MT426413.1	HBV-C	United States	2012
MT426412.1	HBV-C	United States	2012
MT426411.1	HBV-C	United States	2012
MT426410.1	HBV-C	United States	2012
MT426409.1	HBV-C	United States	2012
MT426408.1	HBV-C	United States	2012
MT426407.1	HBV-C	United States	2012
MT426406.1	HBV-C	United States	2012
MT426405.1	HBV-C	United States	2012
MT426404.1	HBV-C	United States	2012
MT426403.1	HBV-C	United States	2012
MT426402.1	HBV-C	United States	2012
MT426401.1	HBV-C	United States	2012
MT426400.1	HBV-C	United States	2012
MT426399.1	HBV-C	United States	2012
MT426398.1	HBV-C	United States	2012
MT426397.1	HBV-C	United States	2012
MT426396.1	HBV-C	United States	2012
MT426395.1	HBV-C	United States	2012
MT426394.1	HBV-C	United States	2012
MT426393.1	HBV-C	United States	2012
MT426392.1	HBV-C	United States	2012
MT426391.1	HBV-C	United States	2012
MT426390.1	HBV-C	United States	2012
MT426389.1	HBV-C	United States	2012
MT426388.1	HBV-C	United States	2012
MT426387.1	HBV-C	United States	2012
MT426386.1	HBV-C	United States	2012
MT426385.1	HBV-C	United States	2012
MT426384.1	HBV-C	United States	2012
MT426383.1	HBV-C	United States	2012
MT426382.1	HBV-C	United States	2012
MT426381.1	HBV-C	United States	2012
MT426380.1	HBV-C	United States	2012
MT426379.1	HBV-C	United States	2012
MT426378.1	HBV-C	United States	2012
MT426377.1	HBV-C	United States	2012
MT426376.1	HBV-C	United States	2012
MT426375.1	HBV-C	United States	2012
MT426374.1	HBV-C	United States	2012
MT426373.1	HBV-C	United States	2012
MT426372.1	HBV-C	United States	2012
MT426371.1	HBV-C	United States	2012
MT426370.1	HBV-C	United States	2012
MT426369.1	HBV-C	United States	2012
MT426368.1	HBV-C	United States	2012
MT426367.1	HBV-C	United States	2012
MT426366.1	HBV-C	United States	2012
MT426365.1	HBV-C	United States	2012
MT426364.1	HBV-C	United States	2012
MT426363.1	HBV-C	United States	2012
MT426362.1	HBV-C	United States	2012
MT426361.1	HBV-C	United States	2012
MT426360.1	HBV-C	United States	2012
MT426359.1	HBV-C	United States	2012
MT426358.1	HBV-C	United States	2012
MT426357.1	HBV-C	United States	2012
MT426356.1	HBV-C	United States	2012
MT426355.1	HBV-C	United States	2012
MT426354.1	HBV-C	United States	2012
MT426353.1	HBV-C	United States	2012
MT426352.1	HBV-C	United States	2012
MT426351.1	HBV-C	United States	2012
MT426350.1	HBV-C	United States	2012
MT426349.1	HBV-C	United States	2012
MT426348.1	HBV-C	United States	2012
MT426347.1	HBV-C	United States	2012
MT426346.1	HBV-C	United States	2012
MT426345.1	HBV-C	United States	2012
MT426344.1	HBV-C	United States	2012
MT426343.1	HBV-C	United States	2012
MT426342.1	HBV-C	United States	2012
MT426341.1	HBV-C	United States	2012
MT426340.1	HBV-C	United States	2012
MT426339.1	HBV-C	United States	2012
MT426338.1	HBV-C	United States	2012
MT426337.1	HBV-C	United States	2012
MT426336.1	HBV-C	United States	2012
MT426335.1	HBV-C	United States	2012
MT426334.1	HBV-C	United States	2012
MT426333.1	HBV-C	United States	2012
MT426332.1	HBV-C	United States	2012
MT426331.1	HBV-C	United States	2012
MT426330.1	HBV-C	United States	2012
MT426329.1	HBV-C	United States	2012
MT426328.1	HBV-C	United States	2012
MT426327.1	HBV-C	United States	2012
MT426326.1	HBV-C	United States	2012
MT426325.1	HBV-C	United States	2012
MT426324.1	HBV-C	United States	2012
MT426323.1	HBV-C	United States	2012
MT426322.1	HBV-C	United States	2012
MT426321.1	HBV-C	United States	2012
MT426320.1	HBV-C	United States	2012
MT426319.1	HBV-C	United States	2012
MT426318.1	HBV-C	United States	2012
MT426317.1	HBV-C	United States	2012
MT426316.1	HBV-C	United States	2012
MT426315.1	HBV-C	United States	2012
MT426314.1	HBV-C	United States	2012
MT426313.1	HBV-C	United States	2012
MT426312.1	HBV-C	United States	2012
MT426311.1	HBV-C	United States	2012
MT426310.1	HBV-C	United States	2012
MT426309.1	HBV-C	United States	2012
MT426308.1	HBV-C	United States	2012
MT426307.1	HBV-C	United States	2012
MT426306.1	HBV-C	United States	2012
MT426305.1	HBV-C	United States	2012
MT426304.1	HBV-C	United States	2012
MT426303.1	HBV-C	United States	2012
MT426302.1	HBV-C	United States	2012
MT426301.1	HBV-C	United States	2012
MT426300.1	HBV-C	United States	2012
MT426299.1	HBV-C	United States	2012
MT426298.1	HBV-C	United States	2012
MT426297.1	HBV-C	United States	2012
MT426296.1	HBV-C	United States	2012
MT426295.1	HBV-C	United States	2012
MT426294.1	HBV-C	United States	2012
MT426293.1	HBV-C	United States	2012
MT426292.1	HBV-C	United States	2012
MT426291.1	HBV-C	United States	2012
MT426290.1	HBV-C	United States	2012
MT426289.1	HBV-C	United States	2012
MT426288.1	HBV-C	United States	2012
MT426287.1	HBV-C	United States	2012
MT426286.1	HBV-C	United States	2012
MT426285.1	HBV-C	United States	2012
MT426284.1	HBV-C	United States	2012
MT426283.1	HBV-C	United States	2012
MT426282.1	HBV-C	United States	2012
MT426281.1	HBV-C	United States	2012
MT426280.1	HBV-C	United States	2012
MT426279.1	HBV-C	United States	2012
MT426278.1	HBV-C	United States	2012
MT426277.1	HBV-C	United States	2012
MT426276.1	HBV-C	United States	2012
MT426275.1	HBV-C	United States	2012
MT426274.1	HBV-C	United States	2012
MT426273.1	HBV-C	United States	2012
MT426272.1	HBV-C	United States	2012
MT426271.1	HBV-C	United States	2012
MT426270.1	HBV-C	United States	2012
MT426269.1	HBV-C	United States	2012
MT426268.1	HBV-C	United States	2012
MT426267.1	HBV-C	United States	2012
MT426266.1	HBV-C	United States	2012
MT426265.1	HBV-C	United States	2012
MT426264.1	HBV-C	United States	2012
MT426263.1	HBV-C	United States	2012
MT426262.1	HBV-C	United States	2012
MT426261.1	HBV-C	United States	2012
MT426260.1	HBV-C	United States	2012
MT426259.1	HBV-C	United States	2012
MT426258.1	HBV-C	United States	2012
MT426257.1	HBV-C	United States	2012
MT426256.1	HBV-C	United States	2012
MT426255.1	HBV-C	United States	2012
MT426254.1	HBV-C	United States	2012
MT426253.1	HBV-C	United States	2012
MT426252.1	HBV-C	United States	2012
MT426251.1	HBV-C	United States	2012
MT426250.1	HBV-C	United States	2012
MT426249.1	HBV-C	United States	2012
MT426248.1	HBV-C	United States	2012
MT210034.1	HBV-A	South Africa	2018
MT210033.1	HBV-D	South Africa	2018
MT210032.1	HBV-A	South Africa	2018
MT114173.1	HBV-D	Bangladesh	2018
MT114172.1	HBV-D	Bangladesh	2018
MT114171.1	HBV-C	Bangladesh	2018
MT114170.1	HBV-A	Bangladesh	2018
MT114169.1	HBV-D	United Kingdom	2018
MT111596.1	HBV-C	Thailand	2005
MT111595.1	HBV-B	Thailand	2005
MN967529.1	HBV-E	Central African Republic	2019
MN967528.1	HBV-E	Central African Republic	2019
MN967527.1	HBV-E	Central African Republic	2019
MN967526.1	HBV-E	Central African Republic	2019
MN844882.1	HBV-D	France	2018
MN844881.1	HBV-D	France	2019
MN839643.1	HBV-D	Bangladesh	2018
MN780907.1	HBV-D	Kyrgyzstan	2017
MN780906.1	HBV-D	Kyrgyzstan	2017
MN780905.1	HBV-D	Kyrgyzstan	2017
MN780904.1	HBV-D	Kyrgyzstan	2017
MN780903.1	HBV-D	Kyrgyzstan	2017
MN780902.1	HBV-D	Kyrgyzstan	2017
MN780901.1	HBV-D	Kyrgyzstan	2017
MN780900.1	HBV-D	Kyrgyzstan	2017
MN689123.1	HBV-B	China	2011
MN689122.1	HBV-B	China	2011
MN689121.1	HBV-B	China	2011
MN689120.1	HBV-B	China	2011
MN689119.1	HBV-B	China	2011
MN689118.1	HBV-B	China	2011
MN689117.1	HBV-B	China	2011
MN683731.1	HBV-C	China	2017
MN683730.1	HBV-C	China	2017
MN683729.1	HBV-C	China	2014
MN683728.1	HBV-C	China	2014
MN683727.1	HBV-C	China	2017
MN683726.1	HBV-C	China	2017
MN683725.1	HBV-C	China	2014
MN683724.1	HBV-C	China	2014
MN683723.1	HBV-C	China	2014
MN683722.1	HBV-C	China	2014
MN683721.1	HBV-C	China	2014
MN683720.1	HBV-C	China	2014
MN683719.1	HBV-C	China	2014
MN683718.1	HBV-C	China	2014
MN683717.1	HBV-C	China	2014
MN683716.1	HBV-C	China	2014
MN683715.1	HBV-C	China	2014
MN683714.1	HBV-C	China	2014
MN683713.1	HBV-C	China	2014
MN683712.1	HBV-C	China	2014
MN683711.1	HBV-C	China	2014
MN683710.1	HBV-C	China	2014
MN683709.1	HBV-C	China	2014
MN683708.1	HBV-C	China	2014
MN683707.1	HBV-C	China	2014
MN683706.1	HBV-C	China	2014
MN683705.1	HBV-C	China	2014
MN683704.1	HBV-C	China	2014
MN683703.1	HBV-C	China	2014
MN683702.1	HBV-C	China	2014
MN683701.1	HBV-C	China	2014
MN683700.1	HBV-C	China	2014
MN683699.1	HBV-C	China	2014
MN683698.1	HBV-C	China	2014
MN683697.1	HBV-C	China	2014
MN683696.1	HBV-C	China	2014
MN683695.1	HBV-C	China	2014
MN683694.1	HBV-C	China	2014
MN683693.1	HBV-C	China	2014
MN683692.1	HBV-C	China	2014
MN683691.1	HBV-C	China	2014
MN683690.1	HBV-C	China	2014
MN683689.1	HBV-C	China	2014
MN683688.1	HBV-C	China	2014
MN683687.1	HBV-C	China	2014
MN683686.1	HBV-C	China	2014
MN683685.1	HBV-C	China	2014
MN683684.1	HBV-C	China	2014
MN683683.1	HBV-C	China	2014
MN683682.1	HBV-C	China	2014
MN683681.1	HBV-C	China	2014
MN683680.1	HBV-C	China	2014
MN683679.1	HBV-C	China	2014
MN683678.1	HBV-C	China	2014
MN683677.1	HBV-C	China	2014
MN683676.1	HBV-C	China	2014
MN683675.1	HBV-C	China	2014
MN683674.1	HBV-C	China	2014
MN683673.1	HBV-C	China	2014
MN683672.1	HBV-C	China	2014
MN683671.1	HBV-C	China	2014
MN683670.1	HBV-C	China	2014
MN683669.1	HBV-C	China	2014
MN683668.1	HBV-C	China	2014
MN683667.1	HBV-C	China	2014
MN683666.1	HBV-C	China	2014
MN683665.1	HBV-C	China	2014
MN683664.1	HBV-C	China	2014
MN683663.1	HBV-C	China	2014
MN683662.1	HBV-C	China	2014
MN683661.1	HBV-C	China	2014
MN683660.1	HBV-C	China	2014
MN683659.1	HBV-C	China	2014
MN683658.1	HBV-C	China	2014
MN683657.1	HBV-C	China	2014
MN683656.1	HBV-C	China	2014
MN683655.1	HBV-C	China	2014
MN683654.1	HBV-C	China	2014
MN683653.1	HBV-C	China	2014
MN683652.1	HBV-C	China	2014
MN683651.1	HBV-C	China	2014
MN683650.1	HBV-C	China	2014
MN683649.1	HBV-C	China	2014
MN683648.1	HBV-C	China	2014
MN683647.1	HBV-C	China	2014
MN683646.1	HBV-C	China	2014
MN683645.1	HBV-C	China	2014
MN683644.1	HBV-C	China	2014
MN683643.1	HBV-C	China	2014
MN683642.1	HBV-C	China	2014
MN683641.1	HBV-C	China	2014
MN683640.1	HBV-C	China	2014
MN683639.1	HBV-C	China	2014
MN683638.1	HBV-C	China	2014
MN683637.1	HBV-C	China	2014
MN683636.1	HBV-C	China	2014
MN683635.1	HBV-C	China	2014
MN683634.1	HBV-C	China	2014
MN683633.1	HBV-C	China	2014
MN683632.1	HBV-C	China	2014
MN683631.1	HBV-C	China	2014
MN683630.1	HBV-C	China	2014
MN683629.1	HBV-C	China	2014
MN683628.1	HBV-C	China	2014
MN683627.1	HBV-C	China	2014
MN683626.1	HBV-C	China	2014
MN683625.1	HBV-C	China	2014
MN683624.1	HBV-C	China	2014
MN683623.1	HBV-C	China	2014
MN683622.1	HBV-C	China	2014
MN683621.1	HBV-C	China	2014
MN683620.1	HBV-C	China	2014
MN683619.1	HBV-C	China	2014
MN683618.1	HBV-C	China	2014
MN683617.1	HBV-C	China	2014
MN683616.1	HBV-C	China	2014
MN683615.1	HBV-C	China	2014
MN683614.1	HBV-C	China	2014
MN683613.1	HBV-C	China	2014
MN683612.1	HBV-C	China	2014
MN683611.1	HBV-C	China	2014
MN683610.1	HBV-C	China	2014
MN683609.1	HBV-C	China	2014
MN683608.1	HBV-C	China	2014
MN683607.1	HBV-C	China	2014
MN683606.1	HBV-C	China	2014
MN683605.1	HBV-C	China	2014
MN683604.1	HBV-C	China	2014
MN683603.1	HBV-C	China	2014
MN683602.1	HBV-C	China	2014
MN683601.1	HBV-C	China	2014
MN683600.1	HBV-C	China	2014
MN683599.1	HBV-C	China	2014
MN683598.1	HBV-C	China	2014
MN683597.1	HBV-C	China	2014
MN683596.1	HBV-C	China	2014
MN683595.1	HBV-C	China	2014
MN683594.1	HBV-C	China	2014
MN683593.1	HBV-C	China	2014
MN683592.1	HBV-C	China	2014
MN683591.1	HBV-C	China	2014
MN683590.1	HBV-C	China	2014
MN683589.1	HBV-C	China	2014
MN683588.1	HBV-C	China	2014
MN683587.1	HBV-C	China	2014
MN683586.1	HBV-C	China	2014
MN683585.1	HBV-C	China	2017
MN683584.1	HBV-C	China	2017
MN683583.1	HBV-C	China	2017
MN683582.1	HBV-C	China	2017
MN683581.1	HBV-C	China	2017
MN683580.1	HBV-C	China	2017
MN683579.1	HBV-C	China	2017
MN683578.1	HBV-C	China	2017
MN683577.1	HBV-C	China	2017
MN683576.1	HBV-C	China	2017
MN683575.1	HBV-C	China	2017
MN683574.1	HBV-C	China	2017
MN683573.1	HBV-C	China	2017
MN683572.1	HBV-C	China	2017
MN683571.1	HBV-C	China	2014
MN683570.1	HBV-C	China	2014
MN657318.1	HBV-C	China	2014
MN657317.1	HBV-C	China	2014
MN657316.1	HBV-C	China	2014
MN657315.1	HBV-C	China	2014
MN650087.1	HBV-C	India	2017
MN650086.1	HBV-C	India	2017
MN650085.1	HBV-C	India	2017
MN650084.1	HBV-C	India	2017
MN650083.1	HBV-C	India	2017
MN650082.1	HBV-C	India	2017
MN650081.1	HBV-C	India	2017
MN650080.1	HBV-C	India	2017
MN650079.1	HBV-C	India	2017
MN650078.1	HBV-C	India	2017
MN650077.1	HBV-C	India	2017
MN650076.1	HBV-C	India	2017
MN650075.1	HBV-C	India	2017
MN650074.1	HBV-C	India	2017
MN650073.1	HBV-C	India	2017
MN650072.1	HBV-C	India	2017
MN650071.1	HBV-C	India	2017
MN650070.1	HBV-C	India	2017
MN650069.1	HBV-C	India	2017
MN650068.1	HBV-C	India	2017
MN585097.1	HBV-A	Belgium	2010
MN585096.1	HBV-A	Belgium	2009
MN585095.1	HBV-D	Belgium	2007
MN585094.1	HBV-D	Belgium	2009
MN560188.1	HBV-D	Unknown	2018
MN544634.1	HBV-A	Democratic Republic of the Congo	2001
MN535019.1	HBV-B	Viet Nam	2018
MN535018.1	HBV-B	Viet Nam	2018
MN535017.1	HBV-C	Viet Nam	2018
MN507853.1	HBV-D	Guinea	2017
MN507852.1	HBV-D	Guinea	2018
MN507851.1	HBV-D	Guinea	2018
MN507850.1	HBV-D	Guinea	2018
MN507849.1	HBV-A	Guinea	2017
MN507848.1	HBV-E	Guinea	2019
MN507847.1	HBV-E	Guinea	2018
MN507846.1	HBV-E	Guinea	2018
MN507845.1	HBV-E	Guinea	2018
MN507844.1	HBV-E	Guinea	2018
MN507843.1	HBV-E	Guinea	2016
MN507842.1	HBV-E	Guinea	2016
MN507841.1	HBV-E	Guinea	2019
MN507840.1	HBV-E	Guinea	2018
MN507839.1	HBV-D	Guinea	2018
MN507838.1	HBV-D	Guinea	2017
MN507837.1	HBV-D	Guinea	2017
MN507836.1	HBV-D	Guinea	2017
MN507835.1	HBV-D	Guinea	2017
MN476102.1	HBV-A	Kenya	2011
MN476101.1	HBV-A	Kenya	2011
MN476100.1	HBV-D	Kenya	2011
MN476099.1	HBV-A	Kenya	2011
MN365240.1	HBV-D	Unknown	2018
MN365239.1	HBV-D	Unknown	2017
MN365238.1	HBV-D	Unknown	2015
MN310715.1	HBV-D	Brazil	2014
MN310714.1	HBV-D	Brazil	2010
MN310713.1	HBV-D	Brazil	2010
MN310712.1	HBV-D	Brazil	2010
MN310711.1	HBV-D	Brazil	2015
MN310710.1	HBV-D	Brazil	2015
MN310709.1	HBV-D	Brazil	2010
MN310708.1	HBV-D	Brazil	2010
MN310707.1	HBV-D	Brazil	2015
MN310706.1	HBV-D	Brazil	2010
MN310705.1	HBV-D	Brazil	2010
MN104805.1	HBV-A	France	2018
MN053840.1	HBV-A	France	2018
MK956109.1	HBV-D	Unknown	2017
MK956108.1	HBV-D	Unknown	2017
MK956107.1	HBV-D	Unknown	2017
MK956106.1	HBV-D	Unknown	2017
MK900679.1	HBV-D	Unknown	2015
MK900678.1	HBV-D	Unknown	2015
MK818227.1	HBV-C	Malaysia	2014
MK818226.1	HBV-B	Malaysia	2014
MK818225.1	HBV-B	Malaysia	2014
MK818224.1	HBV-B	Malaysia	2014
MK818223.1	HBV-B	Malaysia	2014
MK818222.1	HBV-B	Malaysia	2014
MK720632.1	HBV-E	United Kingdom	2018
MK720631.1	HBV-E	United Kingdom	2018
MK720630.1	HBV-C	United Kingdom	2018
MK720629.1	HBV-C	United Kingdom	2018
MK720628.1	HBV-C	United Kingdom	2018
MK720627.1	HBV-C	United Kingdom	2018
MK693109.1	HBV-D	Iran, Islamic Republic of	2018
MK693108.1	HBV-D	Iran, Islamic Republic of	2018
MK693107.1	HBV-D	Iran, Islamic Republic of	2018
MK628732.1	HBV-C	Bangladesh	2018
MK618445.1	HBV-D	Unknown	2016
MK618444.1	HBV-D	Unknown	2017
MK618443.1	HBV-D	Unknown	2017
MK618442.1	HBV-D	Unknown	2016
MK618441.1	HBV-D	Unknown	2017
MK618440.1	HBV-D	Unknown	2016
MK618439.1	HBV-D	Unknown	2016
MK618438.1	HBV-D	Unknown	2015
MK618437.1	HBV-D	Unknown	2017
MK618436.1	HBV-D	Unknown	2017
MK618435.1	HBV-D	Unknown	2015
MK618434.1	HBV-D	Unknown	2017
MK618433.1	HBV-D	Unknown	2016
MK618432.1	HBV-D	Unknown	2017
MK618431.1	HBV-D	Unknown	2017
MK618430.1	HBV-D	Unknown	2016
MK618429.1	HBV-D	Unknown	2017
MK618428.1	HBV-D	Unknown	2016
MK618427.1	HBV-D	Unknown	2015
MK618426.1	HBV-D	Unknown	2015
MK618425.1	HBV-D	Unknown	2017
MK618424.1	HBV-D	Unknown	2017
MK618423.1	HBV-D	Unknown	2016
MK618422.1	HBV-D	Unknown	2016
MK618421.1	HBV-D	Unknown	2017
MK618420.1	HBV-D	Unknown	2015
MK618419.1	HBV-D	Unknown	2015
MK618418.1	HBV-D	Unknown	2015
MK598679.1	HBV-D	Unknown	2016
MK598678.1	HBV-D	Unknown	2016
MK598677.1	HBV-D	Unknown	2018
MK598676.1	HBV-D	Unknown	2018
MK598675.1	HBV-D	Unknown	2018
MK598674.1	HBV-D	Unknown	2018
MK598673.1	HBV-D	Unknown	2018
MK598672.1	HBV-D	Unknown	2018
MK598671.1	HBV-D	Unknown	2018
MK598670.1	HBV-D	Unknown	2018
MK598669.1	HBV-D	Unknown	2018
MK598668.1	HBV-D	Unknown	2016
MK598667.1	HBV-D	Unknown	2016
MK598666.1	HBV-D	Unknown	2016
MK598665.1	HBV-D	Unknown	2017
MK598664.1	HBV-D	Unknown	2017
MK598663.1	HBV-D	Unknown	2017
MK598662.1	HBV-D	Unknown	2017
MK598661.1	HBV-D	Unknown	2017
MK598660.1	HBV-D	Unknown	2017
MK598659.1	HBV-D	Unknown	2017
MK598658.1	HBV-D	Unknown	2017
MK598657.1	HBV-D	Unknown	2018
MK598656.1	HBV-D	Unknown	2018
MK598655.1	HBV-D	Unknown	2018
MK598654.1	HBV-D	Unknown	2016
MK598653.1	HBV-D	Unknown	2017
MK598652.1	HBV-D	Unknown	2015
MK598651.1	HBV-D	Unknown	2015
MK598650.1	HBV-D	Unknown	2017
MK598649.1	HBV-D	Unknown	2017
MK598648.1	HBV-D	Unknown	2016
MK598647.1	HBV-D	Unknown	2016
MK598646.1	HBV-D	Unknown	2016
MK598645.1	HBV-D	Unknown	2016
MK598644.1	HBV-D	Unknown	2015
MK598643.1	HBV-D	Unknown	2015
MK598642.1	HBV-D	Unknown	2015
MK598641.1	HBV-D	Unknown	2017
MK598640.1	HBV-D	Unknown	2017
MK598639.1	HBV-D	Unknown	2016
MK598638.1	HBV-D	Unknown	2015
MK598637.1	HBV-D	Unknown	2015
MK598636.1	HBV-D	Unknown	2015
MK541689.1	HBV-D	India	2013
MK541688.1	HBV-D	India	2016
MK516280.1	HBV-D	India	2015
